Vehicle_ID,Manufacturer,Vehicle_Model,Category,Battery_kWh,Estimated_Range_km,Max_DC_Charging_kW,Source,,,,,,,,,,,,,,
VEH0001,Ampere,Nexus (3.0 kWh),2W,3,136,NULL,Greaves Electric Mobility,,,,,,,,,,,,,,
VEH0002,Ampere,Magnus EX (2.3 kWh),2W,2.3,121,NULL,Greaves Electric Mobility / BikeWale,,,,,,,,,,,,,,
VEH0003,Ampere,Primus (3.0 kWh),2W,3,107,NULL,Greaves Electric Mobility,,,,,,,,,,,,,,
VEH0004,Ather,450X (2.9 kWh),2W,2.9,111,NULL,Ather Energy,,,,,,,,,,,,,,
VEH0005,Ather,450X (3.7 kWh),2W,3.7,150,NULL,Ather Energy / Autocar India,,,,,,,,,,,,,,
VEH0006,Ather,450S (2.9 kWh),2W,2.9,115,NULL,Ather Energy,,,,,,,,,,,,,,
VEH0007,Ather,Rizta S (2.9 kWh),2W,2.9,123,NULL,Ather Energy / BikeWale,,,,,,,,,,,,,,
VEH0008,Ather,Rizta Z (3.7 kWh),2W,3.7,160,NULL,Ather Energy,,,,,,,,,,,,,,
VEH0009,Audi,e-tron 50 (71.0 kWh),4W,71,379,120,Audi India,,,,,,,,,,,,,,
VEH0010,Audi,e-tron 55 (95.0 kWh),4W,95,484,150,Audi India / CarDekho,,,,,,,,,,,,,,
VEH0011,Audi,e-tron GT (93.4 kWh),4W,93.4,500,270,Audi India,,,,,,,,,,,,,,
VEH0012,Audi,Q8 e-tron (114.0 kWh),4W,114,600,170,Audi India / Autocar India,,,,,,,,,,,,,,
VEH0013,Bajaj,Chetak Premium (3.2 kWh),2W,3.2,126,NULL,Bajaj Auto / BikeWale,,,,,,,,,,,,,,
VEH0014,Bajaj,Chetak Urbane (2.9 kWh),2W,2.9,113,NULL,Bajaj Auto,,,,,,,,,,,,,,
VEH0015,Bajaj,Chetak (3.0 kWh),2W,3,127,NULL,ZigWheels listing; BikeDekho and Autocar India Chetak-vs-iQube comparisons,,,,,,,,,,,,,,
VEH0016,Bajaj,Chetak (3.5 kWh),2W,3.5,153,NULL,ZigWheels listing; BikeDekho and Autocar India Chetak-vs-iQube comparisons,,,,,,,,,,,,,,
VEH0017,BGauss,C12i MAX (3.2 kWh),2W,3.2,135,NULL,BGauss Auto,,,,,,,,,,,,,,
VEH0018,BMW,iX xDrive40 (71.0 kWh),4W,71,425,150,BMW India / CarWale,,,,,,,,,,,,,,
VEH0019,BMW,iX xDrive50 (105.2 kWh),4W,105.2,635,195,BMW India,,,,,,,,,,,,,,
VEH0020,BMW,i4 eDrive40 (83.9 kWh),4W,83.9,590,205,BMW India / Autocar India,,,,,,,,,,,,,,
VEH0021,BMW,i7 xDrive60 (101.7 kWh),4W,101.7,625,195,BMW India,,,,,,,,,,,,,,
VEH0022,BMW,iX1 xDrive30 (66.4 kWh),4W,66.4,440,130,BMW India / Evo India,,,,,,,,,,,,,,
VEH0023,BYD,e6 (71.7 kWh),4W,71.7,520,60,BYD India,,,,,,,,,,,,,,
