Rank,State/Union Territory,Population_2024,Type
1,Uttar Pradesh,238078000,State
2,Bihar,128592000,State
3,Maharashtra,127360000,State
4,West Bengal,99563000,State
5,Madhya Pradesh,87610000,State
6,Rajasthan,81897000,State
7,Tamil Nadu,77089000,State
8,Gujarat,72367000,State
9,Karnataka,68115000,State
10,Andhra Pradesh,53340000,State
11,Odisha,46566000,State
12,Jharkhand,39963000,State
13,Telangana,38272000,State
14,Assam,36047000,State
15,Kerala,35920000,State
16,Punjab,30926000,State
17,Haryana,30573000,State
18,Chhattisgarh,30524000,State
19,Delhi,21752000,Union Territory
20,Jammu & Kashmir,13701000,Union Territory
21,Uttarakhand,11755000,State
22,Himachal Pradesh,7505000,State
23,Tripura,4184000,State
24,Meghalaya,3379000,State
25,Manipur,3253000,State
26,Nagaland,2253000,State
27,Goa,1583000,State
28,Arunachal Pradesh,1576000,State
29,Puducherry,1391163,Union Territory
30,Mizoram,1250000,State
31,Chandigarh,1243000,Union Territory
32,Sikkim,695000,State
33,Dadra & Nagar Haveli & Daman & Diu,657587,Union Territory
34,Andaman & Nicobar Islands,404000,Union Territory
35,Ladakh,302000,Union Territory
36,Lakshadweep,69000,Union Territory   
